WellName,Depth,GammaRay,Resistivity,Density,NeutronPorosity,SonicDT
WELL_1,1000,87.45401188,0.798577264,2.585218988,0.118088602,65.46858033
WELL_1,1010,145.0714306,6.545898907,2.250483979,0.285974121,185.382936
WELL_1,1020,123.1993942,3.48638182,2.296977228,0.289222293,125.7878559
WELL_1,1030,109.8658484,5.331421566,2.739132513,0.323100466,173.9686199
WELL_1,1040,65.60186404,9.121881502,2.563857436,0.354131967,98.00744015
WELL_1,1050,65.59945203,2.868276177,2.205518231,0.441548228,184.3284843
WELL_1,1060,55.80836122,4.398637769,2.260882926,0.280705122,108.3802518
WELL_1,1070,136.6176146,7.677735816,2.598101061,0.213034766,51.62564772
WELL_1,1080,110.1115012,2.673582572,2.20303695,0.378315168,185.8072965
WELL_1,1090,120.8072578,1.231309143,2.296484831,0.194791288,63.69300152
WELL_1,1100,52.05844943,3.252638803,2.529240274,0.253639997,97.89704564
WELL_1,1110,146.9909852,2.031602229,2.615137119,0.127459733,192.5092951
WELL_1,1120,133.2442641,9.332127697,2.591176756,0.10887276,192.591072
WELL_1,1130,71.23391107,8.177143606,2.334561586,0.436926945,136.0156832
WELL_1,1140,68.18249672,6.517335687,2.627307533,0.392593042,144.7755818
WELL_1,1150,68.34045099,8.778875607,2.342349452,0.343590972,117.2668283
WELL_1,1160,80.4242243,8.134884731,2.395239819,0.243133531,93.98161575
WELL_1,1170,102.4756432,2.272415559,2.647894843,0.160653012,99.29968181
WELL_1,1180,93.19450186,8.979310486,2.589779739,0.154752965,150.8777684
WELL_1,1190,79.12291402,5.623751298,2.709534046,0.187585014,162.8561794
WELL_1,1200,111.1852895,8.170681474,2.594567735,0.292229333,168.7368566
WELL_1,1210,63.94938607,9.012867349,2.540985162,0.350108573,168.4427214
WELL_1,1220,79.21446485,3.521033012,2.256204861,0.331069082,63.68091546
WELL_1,1230,86.63618433,1.545493283,2.420629482,0.197976864,124.1630457
WELL_1,1240,95.60699842,2.665384044,2.359121421,0.434202848,58.633814
WELL_1,1250,128.5175961,4.557523992,2.346393786,0.358263921,132.4293323
WELL_1,1260,69.96737822,8.271140276,2.783806333,0.294023918,116.2295752
WELL_1,1270,101.4234438,8.676940541,2.435858635,0.314102261,183.1556274
WELL_1,1280,109.2414569,0.56604524,2.735227933,0.246860022,102.6372519
WELL_1,1290,54.64504127,5.352099374,2.578683176,0.186705846,67.56005246
WELL_1,1300,110.7544852,4.46540453,2.676886782,0.224590438,71.44875231
WELL_1,1310,67.05241237,2.610024199,2.501582256,0.365246139,164.2265948
WELL_1,1320,56.5051593,1.63872099,2.546142331,0.105037721,142.7327095
WELL_1,1330,144.8885537,3.707344128,2.495510616,0.140625424,65.16840142
WELL_1,1340,146.5632033,9.457642187,2.317145793,0.116100925,62.61602092
WELL_1,1350,130.8397348,3.570427854,2.633471269,0.114255081,155.1453697
WELL_1,1360,80.46137692,5.428510907,2.368463417,0.399411204,60.91445095
WELL_1,1370,59.7672114,7.17868011,2.21458958,0.346280251,173.2790089
WELL_1,1380,118.4233027,3.954481223,2.587283378,0.26596084,155.9363341
WELL_1,1390,94.01524937,9.731929786,2.306266408,0.134241956,62.2023171
WELL_1,1400,62.20382348,9.643249302,2.764275151,0.272065556,62.72565711
WELL_1,1410,99.51769101,2.89193181,2.772357146,0.26571512,197.9959368
WELL_1,1420,53.43885211,5.223860806,2.748918634,0.160620654,106.1406194
WELL_1,1430,140.9320402,3.358343943,2.42209522,0.251848077,105.5963221
WELL_1,1440,75.87799816,3.205984697,2.20927397,0.239476657,171.9199351
WELL_1,1450,116.2522284,0.850426,2.756991138,0.315547534,192.0872866
WELL_1,1460,81.17110761,6.290861173,2.456910489,0.322282778,197.9001596
WELL_1,1470,102.0068021,5.275450721,2.779992891,0.115856403,163.0067278
WELL_1,1480,104.6710279,0.989048137,2.778171986,0.231114415,106.4389378
WELL_1,1490,68.48544555,3.14714141,2.711805673,0.31905097,62.5251075
WELL_1,1500,146.9584628,9.128525917,2.376669335,0.276097691,166.5720374
WELL_1,1510,127.5132823,2.775837961,2.431058637,0.399771444,133.7606375
WELL_1,1520,143.9498942,1.876501285,2.710682003,0.330542771,113.6333014
WELL_1,1530,139.482735,5.149801223,2.390153203,0.157027049,185.9531578
WELL_1,1540,109.7899979,9.863679314,2.301695648,0.124699062,66.67962235
WELL_1,1550,142.1874235,2.799525079,2.534080757,0.324846747,123.8937656
WELL_1,1560,58.84925021,6.8852877,2.761692864,0.109278959,51.70304672
WELL_1,1570,69.59828624,7.735386346,2.617617878,0.305021453,120.2990963
WELL_1,1580,54.52272889,2.757556668,2.542036702,0.429080584,58.44549135
WELL_1,1590,82.53303308,7.418055312,2.258305896,0.301415962,67.82268744
WELL_1,1600,88.86772897,3.993939761,2.569004336,0.235859474,67.62893702
