WellName,Depth,GammaRay,Resistivity,Density,NeutronPorosity,SonicDT
WELL_1,1000,87.45401188,0.798577264,2.585218988,0.118088602,65.46858033
WELL_1,1010,145.0714306,6.545898907,2.250483979,0.285974121,185.382936
WELL_1,1020,123.1993942,3.48638182,2.296977228,0.289222293,125.7878559
WELL_1,1030,109.8658484,5.331421566,2.739132513,0.323100466,173.9686199
WELL_1,1040,65.60186404,9.121881502,2.563857436,0.354131967,98.00744015
WELL_1,1050,65.59945203,2.868276177,2.205518231,0.441548228,184.3284843
WELL_2,1000,87.46584188,0.810407264,2.597048988,0.129918602,94.34896561119994
WELL_2,1010,145.0832606,6.557728907,2.262313979,0.297804121,132.5922582314
WELL_2,1020,123.2112242,3.49821182,2.308807228,0.301052293,122.83510712490006
WELL_2,1030,109.8776784,5.343251566,2.750962513,0.334930466,157.23067983490006
